"wine_name","style"
"Lungarotti 2007 Torre di Giano Vigna il Pino White","Aromatic White Wines"
"Marchesi Fumanelli 2005 Terso White","Light-Bodied White Wines"
"O. Fournier 2007 B Crux Red","Full-Bodied Red Wines"
"Pico Maccario 2010 Estrosa White","Aromatic White Wines"
"I Giusti e Zanza 2009 Dulcamara Red","Medium-Bodied Red Wines"
"Attilio Ghisolfi 2007 Pinay Red","Medium-Bodied Red Wines"
"Domaine Sigalas 2010 Asirtiko Athiri White","Aromatic White Wines"
"Beringer 2007 Alluvium Blanc White","Full-Bodied White Wines"
"Clos La Chance 2006 Lila's Cuvée Red","Medium-Bodied Red Wines"
"Gini 2002 Classico","Light-Bodied White Wines"
"Zenato 2001 Vigneto Massoni White","Aromatic White Wines"
"La Vis 2001 Bianco dei Sorni White","Full-Bodied White Wines"
"Fratelli Zeni 2000 Vigne Alte","Aromatic White Wines"
"Cantina Terlano 2002 Terlano Classico White","Aromatic White Wines"
"Conti Formentini 2001 Rylint White","Aromatic White Wines"
"Vinavanti 2005 Le Bon Viveur Red","Medium-Bodied Red Wines"
"Michlits 2007 Biokult Zweigelt Pinot Noir Red","Light-Bodied Red Wines"
"Las Positas 2014 Verdigris White","Aromatic White Wines"
"Valentina Cubi 2008 Morar","Full-Bodied Red Wines"
"Castello di Amorosa 2009 La Castellana Red","Medium-Bodied Red Wines"
"Marco Cecchini 2010 Tovè White","Light-Bodied White Wines"
"Insania 2009 Red","Full-Bodied Red Wines"
"Altùris 2011 White","Aromatic White Wines"
"Beringer 2014 Quantum Red","Medium-Bodied Red Wines"
"ONX 2013 Reckoning Red","Full-Bodied Red Wines"
"Terre Rouge 2014 Enigma White","Aromatic White Wines"
"Turiya 2011 Shapeshifter Red","Medium-Bodied Red Wines"
"Raconteur 2016 White","Aromatic White Wines"
"Príncipe de Viana 2008 Reserva 1423 Red","Medium-Bodied Red Wines"
"Proemio 2009 Gran Reserve Winemaker's Selection Red","Medium-Bodied Red Wines"
"Coiled 2009 Sidewinder Red","Medium-Bodied Red Wines"
"Coiled 2010 Black Mamba Red","Medium-Bodied Red Wines"
"Colter's Creek 2010 Koos-Koos-Kia Colter's Creek Vineyard Red","Medium-Bodied Red Wines"
"Cascina La Ghersa 2009 Sivoy White","Light-Bodied White Wines"
"Castello di Querceto 2010 Cignale Red","Medium-Bodied Red Wines"
"Nadia 2012 Quattro Santa Barbara Highlands Vineyard Red","Medium-Bodied Red Wines"
"Nittnaus Hans und Christine 2013 Nit'ana Red","Medium-Bodied Red Wines"
"Poggio Argentiera 2012 Capatosta","Medium-Bodied Red Wines"
"Ruffino 2010 Riserva Ducale Oro Gran Selezione","Full-Bodied Red Wines"
"Benvenuto de la Serna 2010 Trisagio Malbec-Petit Verdot-Tannat Red","Medium-Bodied Red Wines"
"Robert Foley 2008 The Griffin Red","Full-Bodied Red Wines"
"Castello d'Albola 2003 Vin Santo del Chianti Classico","Dessert & Fortified Wines"
"San Pedro de Yacochuya 2012 Red","Full-Bodied Red Wines"
"Brian Carter Cellars 2012 Tuttorosso Red","Medium-Bodied Red Wines"
"Torbreck 2013 Cuvee Juveniles Red","Medium-Bodied Red Wines"
"Baglio del Cristo di Campobello 2015 Laluci White","Aromatic White Wines"
"Chateau Dereszla 2014 Dry","Dessert & Fortified Wines"
"Vall Llach 2007 Idus Red","Full-Bodied Red Wines"
"Ceralti 2008 Alfeo","Medium-Bodied Red Wines"
"Fuentes 2008 Coraje Red","Full-Bodied Red Wines"
"I Luoghi 2008 Campo al Fico","Medium-Bodied Red Wines"
"Le Buche 2006 Giuseppe Olivi Memento Red","Medium-Bodied Red Wines"
"Marsiliana 2005 Red","Medium-Bodied Red Wines"
"Morlanda 2007 Criança Red","Medium-Bodied Red Wines"
"Covington 2006 Rough House Red Red","Medium-Bodied Red Wines"
"Kendall-Jackson 2008 Summation Vintner's Reserve White","Aromatic White Wines"
"X 2008 White X White","Aromatic White Wines"
"Byzantium 2005 Rosso di Valachia Red","Medium-Bodied Red Wines"
"Domaine des Terrisses 2006 Grande Tradition Red","Medium-Bodied Red Wines"
"Benanti 2006 Edèlmio White","Aromatic White Wines"
"Antichi Vinai 1877 2013 Pietralava Red","Medium-Bodied Red Wines"
"Callaway 2010 Profonde Winemaker's Reserve Red","Medium-Bodied Red Wines"
"Dalton 2013 Alma Semillon-Viognier-Pinot Gris White","Aromatic White Wines"
"Gorka Izagirre 2013 White","Aromatic White Wines"
"Rentas de Fincas 2003 Crianza","Medium-Bodied Red Wines"
"I Clivi 2004 Bianco degli Arzillari White","Full-Bodied White Wines"
"Marqués de Vizhoja 2007 Señor da Folla Verde White","Aromatic White Wines"
"Botalcura 2006 El Delirio Reserve Syrah-Malbec Red","Full-Bodied Red Wines"
"Clos Teddi 2007 Rosé Red","Rosé Wines"
"Principe di Corleone 2004 Evoè Red","Full-Bodied Red Wines"
"Santa Alicia 2012 Millantu Red","Full-Bodied Red Wines"
"Valdivieso 2008 Éclat Vigno Old Vine Blend Red","Full-Bodied Red Wines"
"Carpineto 2006 Sant'Ercolano","Medium-Bodied Red Wines"
"Dei 2012 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Domaine de Gensac 2011 Quadrille White","Light-Bodied White Wines"
"Wilridge 2014 Vintage Estate Dessert Wine Wilridge Vineyard Red","Dessert & Fortified Wines"
"Experience 2012 Red","Full-Bodied Red Wines"
"Ports of New York NV Meleau White Specialty Wine White","Dessert & Fortified Wines"
"Whitman Cellars 2004 Narcissa Red Red","Medium-Bodied Red Wines"
"Tsantali 2006 Ambelonas at Agios Pavlos White","Light-Bodied White Wines"
"White Hart Wine 2014 Vasthoudend Red","Medium-Bodied Red Wines"
"Bodega de Edgar 2014 Toro de Paso Red","Full-Bodied Red Wines"
"Sol Duc 2005 Goose Ridge Estate Vineyard Meritage Red Wine Red","Full-Bodied Red Wines"
"Horan Estates 2005 HVH Red Blend Red","Full-Bodied Red Wines"
"Firriato 2010 Santagostino Baglio Sorìa White","Full-Bodied White Wines"
"Fondo Antico 2009 I Versi Red","Medium-Bodied Red Wines"
"Griesbauerhof 2013 St. Magdalener Classico Red","Medium-Bodied Red Wines"
"Clos Figueras 2013 Serras del Priorat Red","Full-Bodied Red Wines"
"Zahel 2016 White","Light-Bodied White Wines"
"Château Coutinel 2015 Red","Medium-Bodied Red Wines"
"Dark Hundred 2011 Red","Medium-Bodied Red Wines"
"Flying Trout 2010 Cutthroat Red Red","Full-Bodied Red Wines"
"Banear 2006 Mamàn White","Light-Bodied White Wines"
"Martin Ray 2014 The Tower White","Aromatic White Wines"
"Buty 2010 Columbia Rediviva Phinny Hill Vineyard Red","Full-Bodied Red Wines"
"Château Paradis 2010 Terre des Anges Red","Medium-Bodied Red Wines"
"Alain Brumont 2011 Château Bouscassé Red","Full-Bodied Red Wines"
"Carlisle 2014 The Derivative White","Full-Bodied White Wines"
"Masi 2009 Campolongo di Torbe","Full-Bodied Red Wines"
"Terre de Trinci 2003 Riserva","Full-Bodied Red Wines"
"Emiliana 2009 Gê Red","Full-Bodied Red Wines"
"Palari 2009 Faro","Full-Bodied Red Wines"
"Lagar de Bezana 2010 Aluvion Gran Reserva Ensamblaje Red","Full-Bodied Red Wines"
"Santa Carolina 2009 VSC Red","Full-Bodied Red Wines"
"Bodegas Luzón 2014 Luzón Red","Full-Bodied Red Wines"
"Clos de Nit 2015 Red","Medium-Bodied Red Wines"
"Marchesi Antinori 2008 Guado al Tasso","Full-Bodied Red Wines"
"Tenuta San Guido 2008 Sassicaia","Full-Bodied Red Wines"
"Tenuta dell'Ornellaia 2008 Ornellaia","Full-Bodied Red Wines"
"Tenuta Argentiera 2008 Argentiera","Full-Bodied Red Wines"
"Chateau Ste. Michelle 2012 Indian Wells Red","Full-Bodied Red Wines"
"Gabriel Meffre 2015 La Châsse Sauvignon-Colombard White","Light-Bodied White Wines"
"The Williamsburg Winery 2015 A Midsummer Night's White White","Light-Bodied White Wines"
"Tie-Dye 2014 Red","Medium-Bodied Red Wines"
"Portal del Montsant 2014 Bruberry Red","Full-Bodied Red Wines"
"Decoy 2013 Red","Full-Bodied Red Wines"
"Amalaya 2015 Esperanza Por Un Milagro White","Full-Bodied White Wines"
"Sant Agnese dei F.lli Gigli 2006 Libatio Red","Medium-Bodied Red Wines"
"Massi di Mandorlaia 2007 Colpetroso","Medium-Bodied Red Wines"
"Qupé 2010 Bien Nacido Cuvée White","Full-Bodied White Wines"
"Tommasi 2005 Poggio al Tufo Rompicollo","Full-Bodied Red Wines"
"Villa Vignamaggio 2003 Wine Obsession I Miti Red","Medium-Bodied Red Wines"
"Marqués de Cáceres 2006 Blanco Fermentado en Barrica White","Full-Bodied White Wines"
"Bodegas Campante 2006 Versatus White","Aromatic White Wines"
"Ornellaia 2012 Le Serre Nuove","Full-Bodied Red Wines"
"Niel Santofimia 2013 Red","Medium-Bodied Red Wines"
"Cocobon 2013 Red","Medium-Bodied Red Wines"
"Cellers Unió 2009 Roureda Llicorella Gran Selecció Vitis 60 Red","Full-Bodied Red Wines"
"Mamarracho 2014 The Issue of Inexpensive Wines is When They Are Not Good Enough Red","Medium-Bodied Red Wines"
"Castillo de Liria 2014 Winemaker's Selection White","Light-Bodied White Wines"
"Adegas Moure 2013 Tradición Joven Red","Medium-Bodied Red Wines"
"Bocopa 2012 Alcanta Crianza Red","Medium-Bodied Red Wines"
"Alias 2013 Secret Agent Red","Medium-Bodied Red Wines"
"Peirano 2012 The Other Red","Medium-Bodied Red Wines"
"Zudugarai 2013 White","Light-Bodied White Wines"
"Alamos 2013 Red","Full-Bodied Red Wines"
"Feudi del Pisciotto 2012 Giambattista Valli","Medium-Bodied Red Wines"
"Monteverro 2008 Tinata Red","Full-Bodied Red Wines"
"Mazzei 2008 Castello di Fonterutoli Siepi Red","Full-Bodied Red Wines"
"Quilceda Creek 2008 Palengat Red Wine Red","Full-Bodied Red Wines"
"Chester Kidder 2007 Red Wine Red","Full-Bodied Red Wines"
"Tenuta Monteti 2004 Monteti Red","Full-Bodied Red Wines"
"Angel Vine 2009 The Hellion Red","Full-Bodied Red Wines"
"Villa Matilde 2003 Red","Medium-Bodied Red Wines"
"Ànima Negra 2004 Àn Red","Medium-Bodied Red Wines"
"Caliterra 2010 Tribute Edicion Limitada Syrah-Cabernet Sauvignon-Viognier Red","Full-Bodied Red Wines"
"Caliterra 2010 Tribute Edicion Limitada Cabernet Franc-Petit Verdot Red","Full-Bodied Red Wines"
"Dumas Station 2010 Cow Catcher Red","Full-Bodied Red Wines"
"Tarara 2010 Nevaeh White","Light-Bodied White Wines"
"Tenute Soletta 2011 Kyanos White","Light-Bodied White Wines"
"Cottanera 2011 Barbazzale","Medium-Bodied Red Wines"
"Murphy-Goode 2012 HomeFront Red","Medium-Bodied Red Wines"
"Rock Wall 2012 Super Alamedan Red","Medium-Bodied Red Wines"
"Santa Alicia 2010 Anke Blend 2 Carménère-Petit Verdot-Shiraz Red","Full-Bodied Red Wines"
"Olivi 2008 Memento Red","Medium-Bodied Red Wines"
"Cantina del Castello 2013 Castello","Full-Bodied White Wines"
"Balboa 2007 Reserve Red","Full-Bodied Red Wines"
"Benanti 2005 Lamorèmio Red","Medium-Bodied Red Wines"
"SuLei 2007 Beet Red Red","Medium-Bodied Red Wines"
"Rocca Bernarda 2006 Vineis White","Light-Bodied White Wines"
"Brimstone 2006 Red Wine Red","Full-Bodied Red Wines"
"Château Calissanne 2006 Clos Victoire White","Full-Bodied White Wines"
"Gerovassiliou 2007 Evangelo Red","Full-Bodied Red Wines"
"Alexandria Nicole 2009 Quarry Butte Destiny Ridge Vineyards Estate Grown Red","Full-Bodied Red Wines"
"Bodegas Isidro Milagro 2015 SPÑ Red","Full-Bodied Red Wines"
"Santi 2010 Amarone della Valpolicella Classico","Full-Bodied Red Wines"
"14 Hands 2013 Hot to Trot Red","Medium-Bodied Red Wines"
"Las Casas de Vacquería 2012 Sucesor Red","Full-Bodied Red Wines"
"Poggio Antico 2009 Madre Red","Full-Bodied Red Wines"
"Bindi Sergardi 2010 Chianti Classico","Medium-Bodied Red Wines"
"Corte alla Flora 2011 Rosso di Montepulciano","Medium-Bodied Red Wines"
"Buena Vista 2011 The Count Founder's Red","Full-Bodied Red Wines"
"Fattoria di Montecchio 2010 Chianti Classico","Medium-Bodied Red Wines"
"Vignavecchia 2011 Chianti Classico","Medium-Bodied Red Wines"
"Cameron Hughes 2010 Lot 362 Red","Medium-Bodied Red Wines"
"Edmonds Winery 2007 Solstice Red","Full-Bodied Red Wines"
"Gnarly Head 2013 Authentic White","Light-Bodied White Wines"
"Balduzzi 2012 Grand Reserve Red","Full-Bodied Red Wines"
"Villa Rinaldi 2000 Corpus","Full-Bodied Red Wines"
"Finca Albret 2009 Crianza Red","Full-Bodied Red Wines"
"Domenico Fraccaroli 2008 Grotta del Ninfeo","Full-Bodied Red Wines"
"Georges Vigouroux 2010 Château Tournelles Red","Medium-Bodied Red Wines"
"Trabucchi d'Illasi 2007 Amarone della Valpolicella","Full-Bodied Red Wines"
"Lionel Osmin & Cie 2012 Red","Medium-Bodied Red Wines"
"Manara 2010 Le Morete","Full-Bodied Red Wines"
"Mario Schiopetto 2011 Blanc des Rosis White","Rosé Wines"
"Montecariano 2009 Valpolicella Classico Superiore Ripasso","Full-Bodied Red Wines"
"Antica Corte 2010 Amarone della Valpolicella","Full-Bodied Red Wines"
"Bonavita 2009 Faro","Full-Bodied Red Wines"
"Corvo 2011 Bianco White","Light-Bodied White Wines"
"Corvo 2011 Glicine Red","Medium-Bodied Red Wines"
"Di Filippo 2012 Montefalco Rosso","Medium-Bodied Red Wines"
"Cantina Fratelli Pardi 2011 Montefalco Rosso","Medium-Bodied Red Wines"
"Borra 2012 Markus Nimmo White","Light-Bodied White Wines"
"Domaine Degher 2010 Mojo Estate Red","Full-Bodied Red Wines"
"Airfield Estates 2013 Bombshell Red Vineyard Salute Red","Medium-Bodied Red Wines"
"Columbia Crest 2013 Limited Release Gold Red","Full-Bodied Red Wines"
"Davino 2013 Domaine Ceptura White","Light-Bodied White Wines"
"Kuleto Estate 2012 Frog Prince Red","Full-Bodied Red Wines"
"Lis Neris 2010 Tal Lùc White","Aromatic White Wines"
"Patland 2012 Proprietary Red","Full-Bodied Red Wines"
"Gunter Triebaumer 2014 Trie Rot Red","Medium-Bodied Red Wines"
"Gérard Bertrand 2014 Kosmos Organic Grapes Red","Medium-Bodied Red Wines"
"Gibbs 2012 Crossed Paths Dusty Red","Full-Bodied Red Wines"
"Le Senate 2012 Cacinello Red","Full-Bodied Red Wines"
"Valle dell'Acate 2012 Cerasuolo di Vittoria Classico","Medium-Bodied Red Wines"
"Volatus 2008 Reserve Red","Full-Bodied Red Wines"
"Genoa 2012 Flying Colors Super Tuscan-Style Red","Full-Bodied Red Wines"
"Pala 2013 Assoluto White","Aromatic White Wines"
"La Playa 2010 Axel Primero Red","Medium-Bodied Red Wines"
"Borgo di Colloredo 2005 Gironia Biferno Rosato Red","Rosé Wines"
"Caccia al Piano 1868 2009 Ruit Hora","Full-Bodied Red Wines"
"Antiyal 2009 Kuyen Red","Full-Bodied Red Wines"
"Marchesi Antinori 2009 Guado al Tasso il Bruciato","Full-Bodied Red Wines"
"Casa di Terra 2010 Moreccio","Full-Bodied Red Wines"
"Donna Olimpia 1898 2009 Tageto Red","Full-Bodied Red Wines"
"Zymè 2006 Amarone della Valpolicella Classico","Full-Bodied Red Wines"
"Venturini Massimino 2009 Semonte Alto","Full-Bodied Red Wines"
"Lionel Osmin & Cie 2011 Donibane Red","Medium-Bodied Red Wines"
"Zenato 2007 Sergio Zenato Riserva","Full-Bodied Red Wines"
"Heidi Schröck 2010 Ruster Ausbruch White","Dessert & Fortified Wines"
"Two Brothers 2001 Big Tattoo Red Red","Full-Bodied Red Wines"
"Valtravieso 2011 Vendimia Seleccionada","Full-Bodied Red Wines"
"Pazzo 2009 Red","Full-Bodied Red Wines"
"Lost Angel 2009 Ruckus White","Light-Bodied White Wines"
"Black Box 2010 Sweet Red","Dessert & Fortified Wines"
"Rare NV 4 Grape Blend Red","Medium-Bodied Red Wines"
"LoveThisLife 2009 White","Light-Bodied White Wines"
"Agricola Pugliano 2013 Chianti","Medium-Bodied Red Wines"
"Kennedy Shah 2012 La Vie en Rouge Red","Medium-Bodied Red Wines"
"Le Fonti a San Giorgio 2011 Chianti Montespertoli","Medium-Bodied Red Wines"
"Astorre Noti 2011 Vino Nobile di Montepulciano","Full-Bodied Red Wines"
"Bonacchi 2013 Casalino","Medium-Bodied Red Wines"
"Castello di Querceto 2013 Chianti Classico","Medium-Bodied Red Wines"
"Coli 2013 Pratale","Medium-Bodied Red Wines"
"Campo di Sasso 2014 Insoglio del Cinghiale Red","Full-Bodied Red Wines"
"Guicciardini Strozzi 2012 Vignarè Red","Full-Bodied Red Wines"
"Il Palagio 2012 Sister Moon Red","Full-Bodied Red Wines"
"Marietta Cellars NV Arme Lot Number 3 Red","Full-Bodied Red Wines"
"Val delle Rose 2015 Morellino di Scansano","Medium-Bodied Red Wines"
"Scaranto 2013 Red","Medium-Bodied Red Wines"
"Tolaini 2011 Valdisanti Red","Full-Bodied Red Wines"
"Villa Girardi 2010 Amarone della Valpolicella Classico","Full-Bodied Red Wines"
"Cellers Baronia del Montsant 2010 Englora Red","Medium-Bodied Red Wines"
"Le Bertarole 2010 Podere Cariano","Full-Bodied Red Wines"
"La Storia 2006 Cuvee 32 Red","Medium-Bodied Red Wines"
"Abbazia Santa Anastasia 2006 Sinestesìa White","Light-Bodied White Wines"
"Abbazia Santa Anastasia 2006 Baccante White","Light-Bodied White Wines"
"Murrieta's Well 2013 The Spur Red","Medium-Bodied Red Wines"
"Obsidian Ridge 2012 Half Mile 2640' Red","Medium-Bodied Red Wines"
"Ferrer Bobet 2012 Vieilles Velles Red","Full-Bodied Red Wines"
"Vallana 2007 Boca","Medium-Bodied Red Wines"
"Castello di Querceto 2008 Il Querciolaia Red","Medium-Bodied Red Wines"
"Doyenne 2009 Aix Red","Medium-Bodied Red Wines"
"Nino Negri 2013 Quadrio","Medium-Bodied Red Wines"
"Picket Fence 2014 Top Rail Red","Full-Bodied Red Wines"
"Benanti 2006 Serra della Contessa Red","Full-Bodied Red Wines"
"Montresor 2006 Giacomo Montresor","Full-Bodied Red Wines"
"Santa Ema 2007 Catalina Red","Full-Bodied Red Wines"
"Adanti 2009 Montefalco Rosso","Medium-Bodied Red Wines"
"Barton & Guestier NV Partager Red","Medium-Bodied Red Wines"
"Bodegas Tobía 2012 Viña Tobía White","Light-Bodied White Wines"
"Coeur d'Alene 2005 Switchback Red Red","Medium-Bodied Red Wines"
"Galaxy 2008 Syrah-Merlot-Cabernet Sauvignon Red","Full-Bodied Red Wines"
"Hess Collection 2013 19 Block Mountain Cuvée Red","Full-Bodied Red Wines"
"Il Borro 2013 Red","Full-Bodied Red Wines"
"Whiplash 2015 Red","Medium-Bodied Red Wines"
"Bula 2010 Red","Full-Bodied Red Wines"
"Can Blau 2010 Blau Red","Full-Bodied Red Wines"
"Castello di Montegiove 2008 Elicius Red","Medium-Bodied Red Wines"
"Oliver Conti 2011 Treyu White","Aromatic White Wines"
"Cantine Leonardo Da Vinci 2010 Da Vinci Riserva","Full-Bodied Red Wines"
"James Wyatt 2013 Untamed Cuvée Red","Full-Bodied Red Wines"
"Vinum 2013 White Elephant White","Full-Bodied White Wines"
"Mannucci Droandi 2009 Ceppeto Riserva","Full-Bodied Red Wines"
"Cennatoio 2011 O'Leandro Riserva","Full-Bodied Red Wines"
"Tenuta delle Terre Nere 2007 Etna","Medium-Bodied Red Wines"
"Turkey Flat 2005 The Turk Shiraz-Grenache-Cabernet-Mourvèdre Red","Full-Bodied Red Wines"
"La Posta 2006 Cocina Blend Red","Full-Bodied Red Wines"
"Leone de Castris 2005 Maiana Rosso Red","Medium-Bodied Red Wines"
"DFJ Vinhos 2004 Tinta Roriz and Merlot Red","Medium-Bodied Red Wines"
"El Nido 2003 Clio Monastrell-Cabernet Sauvignon Red","Full-Bodied Red Wines"
"Bonny Doon 2005 Le Cigar Blanc White","Aromatic White Wines"
"Two Vintners 2007 Lola Red Red","Full-Bodied Red Wines"
"Albet I Noya 2009 Petit Albet White","Aromatic White Wines"
"Greater Purpose NV White Label Red","Full-Bodied Red Wines"
"Laird 2011 Jillian's Blend Red","Full-Bodied Red Wines"
"Perelada 2012 Finca Malaveïna Red","Medium-Bodied Red Wines"
"Podere ai Valloni 2014 Gratus Bio Red","Medium-Bodied Red Wines"
"Wirra Wirra 2015 Scrubby Rise White","Full-Bodied White Wines"
"Spann Vineyards 2015 Betsy's Backacher White","Light-Bodied White Wines"
"Thema 2006 Red","Full-Bodied Red Wines"
"Moletto 2001 Colmello Rosso Red","Full-Bodied Red Wines"
"Hunt Cellars 2004 Maestro Red","Full-Bodied Red Wines"
"Montevina 2014 Cracked Earth Red","Medium-Bodied Red Wines"
"Owl Ridge 2012 Tyto Red","Medium-Bodied Red Wines"
"Casa Nuestra 2013 Tinto Red","Medium-Bodied Red Wines"
"Dark Horse NV Big Red Blend No 33-1 Red","Full-Bodied Red Wines"
"Chateau Dereszla 2015 Dry","Champagne & Sparkling Wines"
"Domaines Vinsmoselle NV Pinot Luxembourg White","Light-Bodied White Wines"
"Ceuso 2012 Red","Full-Bodied Red Wines"
"Mulini di Segalari 2009 Ai Confini del Bosco","Full-Bodied Red Wines"
"3Fools 2009 Del Rio Red Red","Medium-Bodied Red Wines"
"YN NV Red","Medium-Bodied Red Wines"
"Lamborghini 2005 Campoleone Red","Full-Bodied Red Wines"
"Andrew Will 2005 Ciel du Cheval Vineyard Red Wine Red","Full-Bodied Red Wines"
"Prix 2004 Reserve Melange Red","Full-Bodied Red Wines"
"Soos Creek 2005 Champoux Vineyard Red Wine Red","Full-Bodied Red Wines"
"Phantom Rivers 2007 Paso del Sol Red","Medium-Bodied Red Wines"
"La Vierge 2008 Temptation The Affair Red","Medium-Bodied Red Wines"
"Villa Erbice 2008 Tremenel","Full-Bodied Red Wines"
"Septima 2010 Gran Reserva Red","Full-Bodied Red Wines"
"Château Laurou 2015 Tradition Red","Medium-Bodied Red Wines"
"Domaine de Ménard 2015 White","Light-Bodied White Wines"
"Estate Biblia Chora 2015 White","Aromatic White Wines"
"Don Miguel Gascón 2012 Colosal Red","Medium-Bodied Red Wines"
"Taverna 2010 Vigna Alta Il Lagarino di Dionisio Red","Full-Bodied Red Wines"
"Tre Nova 2009 Seccopassa Red","Medium-Bodied Red Wines"
"La Braccesca 2012 Sabazio","Full-Bodied Red Wines"
"Cave du Marmandais 2011 La Vieille Eglise Red","Medium-Bodied Red Wines"
"Montemercurio 2007 Damo","Full-Bodied Red Wines"
"Pujanza 2009 Norte","Full-Bodied Red Wines"
"Villa S. Anna 2009 Vino Nobile di Montepulciano","Full-Bodied Red Wines"
"San Giusto a Rentennano 2010 Chianti Classico","Full-Bodied Red Wines"
"Istine 2010 Chianti Classico","Full-Bodied Red Wines"
"Bibbiano 2010 Chianti Classico","Full-Bodied Red Wines"
"Castellinuzza e Piuca 2010 Chianti Classico","Full-Bodied Red Wines"
"Ocone 2008 Calidonio Red","Full-Bodied Red Wines"
"Palari 2007 Faro","Full-Bodied Red Wines"
"Viader 2008 Estate Limited Edition Red","Full-Bodied Red Wines"
"Villa Matilde 2004 Camarato Red","Full-Bodied Red Wines"
"Tagaris 2007 Frank Chiullino Chef Blend Red Red","Medium-Bodied Red Wines"
"Bodegas Docampo 2008 Viña do Campo White","Full-Bodied White Wines"
"Valle de Salinas 2008 Roble Red","Medium-Bodied Red Wines"
"Plaisance Ranch 2013 Ranch Red","Medium-Bodied Red Wines"
"Don Cristobal 1492 2010 1492 Red","Medium-Bodied Red Wines"
"Notro 2010 Tinto Fundación Red","Medium-Bodied Red Wines"
"Figaro 2009 Tinto Red","Medium-Bodied Red Wines"
"Fattoria di Casalbosco 2006 500ml","Dessert & Fortified Wines"
"Syncline 2009 Subduction White White","Full-Bodied White Wines"
"Pietro Beconcini 1999 Caratello","Dessert & Fortified Wines"
"Renato Ratti 2004 Villa Pattono Red","Medium-Bodied Red Wines"
"Michele Chiarlo 2005 Le Monache Red","Full-Bodied Red Wines"
"Beau Joubert 2009 The Ambassador Red","Full-Bodied Red Wines"
"Niner 2010 Fog Catcher Red","Full-Bodied Red Wines"
"Cecilia Beretta 2011 Terre di Cariano Riserva","Full-Bodied Red Wines"
"Kirkland Signature 2013 Signature Series Red","Medium-Bodied Red Wines"
"Ty Caton 2012 EnTycement Red","Full-Bodied Red Wines"
"Mazzei 2011 Tenuta Belguardo","Full-Bodied Red Wines"
"Roth 2012 Heritage Red","Medium-Bodied Red Wines"
"Seghesio 2012 San Lorenzo Estate Red","Full-Bodied Red Wines"
"Silver 2009 I Tre Figli Red","Medium-Bodied Red Wines"
"The Conqueror 2012 Red","Medium-Bodied Red Wines"
"Holly's Hill 2013 Patriarche Red","Medium-Bodied Red Wines"
"Antiyal 2012 Kuyen Red","Full-Bodied Red Wines"
"Artesana 2013 Tannat-Merlot-Zinfandel Red","Full-Bodied Red Wines"
